"phenotype","description","variable_type","n_non_missing","n_missing","n_controls","n_cases"
"40001_C679","Underlying (primary) cause of death: ICD10: C67.9 Bladder, unspecified","binary",9092,352102,8977,115
"40001_C719","Underlying (primary) cause of death: ICD10: C71.9 Brain, unspecified","binary",9092,352102,8822,270
"40001_C80","Underlying (primary) cause of death: ICD10: C80 Malignant neoplasm without specification of site","binary",9092,352102,8913,179
"40001_C900","Underlying (primary) cause of death: ICD10: C90.0 Multiple myeloma","binary",9092,352102,8988,104
"40001_C920","Underlying (primary) cause of death: ICD10: C92.0 Acute myeloid leukaemia","binary",9092,352102,8979,113
"40001_G122","Underlying (primary) cause of death: ICD10: G12.2 Motor neuron disease","binary",9092,352102,8970,122
"40001_I219","Underlying (primary) cause of death: ICD10: I21.9 Acute myocardial infarction, unspecified","binary",9092,352102,8609,483
"40001_I251","Underlying (primary) cause of death: ICD10: I25.1 Atherosclerotic heart disease","binary",9092,352102,8736,356
"40001_I259","Underlying (primary) cause of death: ICD10: I25.9 Chronic ischaemic heart disease, unspecified","binary",9092,352102,8764,328
"40001_I64","Underlying (primary) cause of death: ICD10: I64 Stroke, not specified as haemorrhage or infarction","binary",9092,352102,8989,103
"40001_J841","Underlying (primary) cause of death: ICD10: J84.1 Other interstitial pulmonary diseases with fibrosis","binary",9092,352102,8972,120
"5992","ECG, phase duration","binary",53998,307196,11289,42709
"6015","Chest pain felt during physical activity","binary",54011,307183,1944,52067
"6016","Chest pain felt outside physical activity","binary",54416,306778,1662,52754
"6017","Able to walk or cycle unaided for 10 minutes","binary",53746,307448,51835,1911
"6020_1","Completion status of test: Fully completed","binary",54007,307187,3792,50215
"6020_31","Completion status of test: Participant wanted to stop early","binary",54007,307187,53479,528
"6020_32","Completion status of test: Participant reported chest-pain and/or other discomfort","binary",54007,307187,53801,206
"6020_33","Completion status of test: Heart rate reached safety level","binary",54007,307187,51084,2923
"6020_34","Completion status of test: Incomplete - other reason","binary",54007,307187,53872,135
"6034","Target heart rate achieved","binary",53998,307196,48444,5554
"6070_1","OCT measured (right): Measurable","binary",54608,306586,7583,47025
"6070_6","OCT measured (right): Not performed - equipment failure","binary",54608,306586,49232,5376
"6070_7","OCT measured (right): Not performed - other reason","binary",54608,306586,52401,2207
"6072_1","OCT measured (left): Measurable","binary",54601,306593,7872,46729
"6072_6","OCT measured (left): Not performed - equipment failure","binary",54601,306593,49061,5540
"6072_7","OCT measured (left): Not performed - other reason","binary",54601,306593,52269,2332
"6138_3","Qualifications: O levels/GCSEs or equivalent","binary",357549,3645,188877,168672
"6138_1","Qualifications: College or University degree","binary",357549,3645,241568,115981
"6138_100","Qualifications: None of the above","binary",357549,3645,296456,61093
"6138_2","Qualifications: A levels/AS levels or equivalent","binary",357549,3645,259245,98304
"6138_6","Qualifications: Other professional qualifications eg: nursing, teaching","binary",357549,3645,253308,104241
"6138_5","Qualifications: NVQ or HND or HNC or equivalent","binary",357549,3645,291005,66544
"6138_4","Qualifications: CSEs or equivalent","binary",357549,3645,310877,46672
"6139_100","Gas or solid-fuel cooking/heating: None of the above","binary",360066,1128,296413,63653
"6139_1","Gas or solid-fuel cooking/heating: A gas hob or gas cooker","binary",360066,1128,108386,251680
"6139_3","Gas or solid-fuel cooking/heating: An open solid fuel fire that you use regularly in winter time","binary",360066,1128,327404,32662
"6139_2","Gas or solid-fuel cooking/heating: A gas fire that you use regularly in winter time","binary",360066,1128,214751,145315
"6140_1","Heating type(s) in home: Gas central heating","binary",119908,241286,9625,110283
"6140_100","Heating type(s) in home: None of the above","binary",119908,241286,117619,2289
"6140_3","Heating type(s) in home: Oil (kerosene) central heating","binary",119908,241286,116790,3118
"6140_6","Heating type(s) in home: Open fire without central heating","binary",119908,241286,119449,459
"6140_2","Heating type(s) in home: Electric storage heaters","binary",119908,241286,116362,3546
"6140_5","Heating type(s) in home: Solid fuel central heating","binary",119908,241286,119162,746
"6140_4","Heating type(s) in home: Portable gas or paraffin heaters","binary",119908,241286,119584,324
"6141_1","How are people in household related to participant: Husband, wife or partner","binary",358963,2231,93225,265738
"6141_8","How are people in household related to participant: Other unrelated","binary",358963,2231,352809,6154
"6141_2","How are people in household related to participant: Son and/or daughter (include step-children)","binary",358963,2231,237892,121071
"6141_7","How are people in household related to participant: Other related","binary",358963,2231,356976,1987
"6141_4","How are people in household related to participant: Mother and/or father","binary",358963,2231,352661,6302
"6141_3","How are people in household related to participant: Brother and/or sister","binary",358963,2231,357312,1651
"6141_6","How are people in household related to participant: Grandchild","binary",358963,2231,356056,2907
"6141_5","How are people in household related to participant: Grandparent","binary",358963,2231,358861,102
"6142_2","Current employment status: Retired","binary",359931,1263,227000,132931
"6142_1","Current employment status: In paid employment or self-employed","binary",359931,1263,154782,205149
"6142_5","Current employment status: Unemployed","binary",359931,1263,354237,5694
"6142_4","Current employment status: Unable to work because of sickness or disability","binary",359931,1263,346175,13756
"6142_3","Current employment status: Looking after home and/or family","binary",359931,1263,341917,18014
"6142_6","Current employment status: Doing unpaid or voluntary work","binary",359931,1263,346623,13308
"6142_7","Current employment status: Full or part-time student","binary",359931,1263,357113,2818
"6142_100","Current employment status: None of the above","binary",359931,1263,358201,1730
"6143_1","Transport type for commuting to job workplace: Car/motor vehicle","binary",190832,170362,38351,152481
"6143_3","Transport type for commuting to job workplace: Public transport","binary",190832,170362,151177,39655
"6143_2","Transport type for commuting to job workplace: Walk","binary",190832,170362,160545,30287
"6143_4","Transport type for commuting to job workplace: Cycle","binary",190832,170362,175947,14885
"6143_100","Transport type for commuting to job workplace: None of the above","binary",190832,170362,190043,789
"6144_5","Never eat eggs, dairy, wheat, sugar: I eat all of the above","binary",359777,1417,81615,278162
"6144_3","Never eat eggs, dairy, wheat, sugar: Wheat products","binary",359777,1417,350204,9573
"6144_4","Never eat eggs, dairy, wheat, sugar: Sugar or foods/drinks containing sugar","binary",359777,1417,292485,67292
"6144_1","Never eat eggs, dairy, wheat, sugar: Eggs or foods containing eggs","binary",359777,1417,350462,9315
"6144_2","Never eat eggs, dairy, wheat, sugar: Dairy products","binary",359777,1417,351854,7923
"6145_1","Illness, injury, bereavement, stress in last 2 years: Serious illness, injury or assault to yourself","binary",358836,2358,325595,33241
"6145_100","Illness, injury, bereavement, stress in last 2 years: None of the above","binary",358836,2358,156985,201851
"6145_2","Illness, injury, bereavement, stress in last 2 years: Serious illness, injury or assault of a close relative","binary",358836,2358,317377,41459
"6145_3","Illness, injury, bereavement, stress in last 2 years: Death of a close relative","binary",358836,2358,283531,75305
"6145_6","Illness, injury, bereavement, stress in last 2 years: Financial difficulties","binary",358836,2358,318166,40670
"6145_5","Illness, injury, bereavement, stress in last 2 years: Marital separation/divorce","binary",358836,2358,348020,10816
"6145_4","Illness, injury, bereavement, stress in last 2 years: Death of a spouse or partner","binary",358836,2358,353248,5588
"6146_100","Attendance/disability/mobility allowance: None of the above","binary",358597,2597,20718,337879
"6146_2","Attendance/disability/mobility allowance: Disability living allowance","binary",358597,2597,342900,15697
"6146_1","Attendance/disability/mobility allowance: Attendance allowance","binary",358597,2597,356073,2524
"6146_3","Attendance/disability/mobility allowance: Blue badge","binary",358597,2597,345864,12733
"6147_6","Reason for glasses/contact lenses: For a 'lazy' eye or an eye with poor vision since childhood (called 'amblyopia')","binary",360677,517,357713,2964
"6147_3","Reason for glasses/contact lenses: For just reading/near work as you are getting older (called 'presbyopia')","binary",360677,517,329181,31496
"6147_2","Reason for glasses/contact lenses: For long-sightedness, i.e. for distance and near, but particularly for near tasks like reading (called 'hypermetropia')","binary",360677,517,345586,15091
"6147_1","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia')","binary",360677,517,331359,29318
"6147_4","Reason for glasses/contact lenses: For 'astigmatism'","binary",360677,517,350925,9752
"6147_7","Reason for glasses/contact lenses: Other eye condition","binary",360677,517,359406,1271
"6147_5","Reason for glasses/contact lenses: For a 'squint' or 'turn' in an eye since childhood (called 'strabismus')","binary",360677,517,359111,1566
"6148_100","Eye problems/disorders: None of the above","binary",117890,243304,25949,91941
"6148_6","Eye problems/disorders: Other serious eye condition","binary",117890,243304,111303,6587
"6148_4","Eye problems/disorders: Cataract","binary",117890,243304,106696,11194
"6148_1","Eye problems/disorders: Diabetes related eye disease","binary",117890,243304,115641,2249
"6148_5","Eye problems/disorders: Macular degeneration","binary",117890,243304,115164,2726
"6148_2","Eye problems/disorders: Glaucoma","binary",117890,243304,112798,5092
"6148_3","Eye problems/disorders: Injury or trauma resulting in loss of vision","binary",117890,243304,115739,2151
"6149_100","Mouth/teeth dental problems: None of the above","binary",359841,1353,141495,218346
"6149_6","Mouth/teeth dental problems: Dentures","binary",359841,1353,298864,60977
"6149_4","Mouth/teeth dental problems: Loose teeth","binary",359841,1353,345477,14364
"6149_3","Mouth/teeth dental problems: Bleeding gums","binary",359841,1353,313147,46694
"6149_1","Mouth/teeth dental problems: Mouth ulcers","binary",359841,1353,323010,36831
"6149_2","Mouth/teeth dental problems: Painful gums","binary",359841,1353,349726,10115
"6149_5","Mouth/teeth dental problems: Toothache","binary",359841,1353,345364,14477
"6150_100","Vascular/heart problems diagnosed by doctor: None of the above","binary",360420,774,106855,253565
"6150_4","Vascular/heart problems diagnosed by doctor: High blood pressure","binary",360420,774,263281,97139
"6150_1","Vascular/heart problems diagnosed by doctor: Heart attack","binary",360420,774,352132,8288
"6150_2","Vascular/heart problems diagnosed by doctor: Angina","binary",360420,774,349048,11372
"6150_3","Vascular/heart problems diagnosed by doctor: Stroke","binary",360420,774,354833,5587
"6151_1","Fractured bone site(s): Ankle","binary",359241,1953,354173,5068
"6151_7","Fractured bone site(s): Other bones","binary",359241,1953,340454,18787
"6151_2","Fractured bone site(s): Leg","binary",359241,1953,356930,2311
"6151_5","Fractured bone site(s): Wrist","binary",359241,1953,352041,7200
"6151_6","Fractured bone site(s): Arm","binary",359241,1953,355565,3676
"6151_3","Fractured bone site(s): Hip","binary",359241,1953,358574,667
"6151_4","Fractured bone site(s): Spine","binary",359241,1953,358429,812
"6152_100","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: None of the above","binary",360527,667,116005,244522
"6152_8","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Asthma","binary",360527,667,318894,41633
"6152_9","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema","binary",360527,667,277120,83407
"6152_6","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Emphysema/chronic bronchitis","binary",360527,667,354389,6138
"6152_7","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the lung","binary",360527,667,357543,2984
"6152_5","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT)","binary",360527,667,353141,7386
"6153_1","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Cholesterol lowering medication","binary",193148,168046,168901,24247
"6153_100","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: None of the above","binary",193148,168046,59810,133338
"6153_2","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication","binary",193148,168046,159629,33519
"6153_5","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Oral contraceptive pill or minipill","binary",193148,168046,188106,5042
"6153_4","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Hormone replacement therapy","binary",193148,168046,178763,14385
"6153_3","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Insulin","binary",193148,168046,191672,1476
"6154_1","Medication for pain relief, constipation, heartburn: Aspirin","binary",357084,4110,306880,50204
"6154_100","Medication for pain relief, constipation, heartburn: None of the above","binary",357084,4110,159041,198043
"6154_3","Medication for pain relief, constipation, heartburn: Paracetamol","binary",357084,4110,279148,77936
"6154_2","Medication for pain relief, constipation, heartburn: Ibuprofen (e.g. Nurofen)","binary",357084,4110,304035,53049
"6154_4","Medication for pain relief, constipation, heartburn: Ranitidine (e.g. Zantac)","binary",357084,4110,350258,6826
"6154_5","Medication for pain relief, constipation, heartburn: Omeprazole (e.g. Zanprol)","binary",357084,4110,335620,21464
"6154_6","Medication for pain relief, constipation, heartburn: Laxatives (e.g. Dulcolax, Senokot)","binary",357084,4110,346777,10307
"6155_2","Vitamin and mineral supplements: Vitamin B","binary",359245,1949,344453,14792
"6155_100","Vitamin and mineral supplements: None of the above","binary",359245,1949,112464,246781
"6155_4","Vitamin and mineral supplements: Vitamin D","binary",359245,1949,345558,13687
"6155_3","Vitamin and mineral supplements: Vitamin C","binary",359245,1949,328295,30950
"6155_7","Vitamin and mineral supplements: Multivitamins +/- minerals","binary",359245,1949,281773,77472
"6155_1","Vitamin and mineral supplements: Vitamin A","binary",359245,1949,352510,6735
"6155_6","Vitamin and mineral supplements: Folic acid or Folate (Vit B9)","binary",359245,1949,351642,7603
"6155_5","Vitamin and mineral supplements: Vitamin E","binary",359245,1949,348889,10356
"6156_100","Manic/hyper symptoms: None of the above","binary",24049,337145,15377,8672
"6156_14","Manic/hyper symptoms: I was more creative or had more ideas than usual","binary",24049,337145,21199,2850
"6156_11","Manic/hyper symptoms: I was more active than usual","binary",24049,337145,18019,6030
"6156_12","Manic/hyper symptoms: I was more talkative than usual","binary",24049,337145,19022,5027
"6156_15","Manic/hyper symptoms: All of the above","binary",24049,337145,21618,2431
"6156_13","Manic/hyper symptoms: I needed less sleep than usual","binary",24049,337145,20790,3259
"6157_1","Why stopped smoking: Illness or ill health","binary",88516,272678,77879,10637
"6157_100","Why stopped smoking: None of the above","binary",88516,272678,70768,17748
"6157_3","Why stopped smoking: Health precaution","binary",88516,272678,32853,55663
"6157_4","Why stopped smoking: Financial reasons","binary",88516,272678,66863,21653
"6157_2","Why stopped smoking: Doctor's advice","binary",88516,272678,82160,6356
"6158_100","Why reduced smoking: None of the above","binary",11443,349751,8166,3277
"6158_2","Why reduced smoking: Doctor's advice","binary",11443,349751,9804,1639
"6158_3","Why reduced smoking: Health precaution","binary",11443,349751,6000,5443
"6158_1","Why reduced smoking: Illness or ill health","binary",11443,349751,9839,1604
"6158_4","Why reduced smoking: Financial reasons","binary",11443,349751,8356,3087
"6159_4","Pain type(s) experienced in last month: Back pain","binary",360391,803,269042,91349
"6159_100","Pain type(s) experienced in last month: None of the above","binary",360391,803,214877,145514
"6159_3","Pain type(s) experienced in last month: Neck or shoulder pain","binary",360391,803,278271,82120
"6159_5","Pain type(s) experienced in last month: Stomach or abdominal pain","binary",360391,803,330085,30306
"6159_7","Pain type(s) experienced in last month: Knee pain","binary",360391,803,283763,76628
"6159_1","Pain type(s) experienced in last month: Headache","binary",360391,803,288719,71672
"6159_2","Pain type(s) experienced in last month: Facial pain","binary",360391,803,353792,6599
"6159_6","Pain type(s) experienced in last month: Hip pain","binary",360391,803,319891,40500
"6159_8","Pain type(s) experienced in last month: Pain all over the body","binary",360391,803,354861,5530
"6160_100","Leisure/social activities: None of the above","binary",360063,1131,251359,108704
"6160_2","Leisure/social activities: Pub or social club","binary",360063,1131,261564,98499
"6160_3","Leisure/social activities: Religious group","binary",360063,1131,307366,52697
"6160_1","Leisure/social activities: Sports club or gym","binary",360063,1131,251590,108473
"6160_5","Leisure/social activities: Other group activity","binary",360063,1131,279885,80178
"6160_4","Leisure/social activities: Adult education class","binary",360063,1131,334221,25842
"6162_1","Types of transport used (excluding work): Car/motor vehicle","binary",359324,1870,73865,285459
"6162_3","Types of transport used (excluding work): Public transport","binary",359324,1870,251597,107727
"6162_2","Types of transport used (excluding work): Walk","binary",359324,1870,182390,176934
"6162_4","Types of transport used (excluding work): Cycle","binary",359324,1870,333265,26059
"6162_100","Types of transport used (excluding work): None of the above","binary",359324,1870,358529,795
"6164_1","Types of physical activity in last 4 weeks: Walking for pleasure (not as a means of transport)","binary",359263,1931,100689,258574
"6164_100","Types of physical activity in last 4 weeks: None of the above","binary",359263,1931,338008,21255
"6164_2","Types of physical activity in last 4 weeks: Other exercises (eg: swimming, cycling, keep fit, bowling)","binary",359263,1931,185021,174242
"6164_5","Types of physical activity in last 4 weeks: Heavy DIY (eg: weeding, lawn mowing, carpentry, digging)","binary",359263,1931,202666,156597
"6164_4","Types of physical activity in last 4 weeks: Light DIY (eg: pruning, watering the lawn)","binary",359263,1931,172584,186679
"6164_3","Types of physical activity in last 4 weeks: Strenuous sports","binary",359263,1931,321966,37297
"6177_2","Medication for cholesterol, blood pressure or diabetes: Blood pressure medication","binary",165340,195854,124353,40987
"6177_100","Medication for cholesterol, blood pressure or diabetes: None of the above","binary",165340,195854,54968,110372
"6177_1","Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication","binary",165340,195854,127283,38057
"6177_3","Medication for cholesterol, blood pressure or diabetes: Insulin","binary",165340,195854,163092,2248
"6179_3","Mineral and other dietary supplements: Calcium","binary",360016,1178,335990,24026
"6179_100","Mineral and other dietary supplements: None of the above","binary",360016,1178,155206,204810
"6179_1","Mineral and other dietary supplements: Fish oil (including cod liver oil)","binary",360016,1178,245885,114131
"6179_2","Mineral and other dietary supplements: Glucosamine","binary",360016,1178,289798,70218
"6179_4","Mineral and other dietary supplements: Zinc","binary",360016,1178,345614,14402
"6179_5","Mineral and other dietary supplements: Iron","binary",360016,1178,349321,10695
"6179_6","Mineral and other dietary supplements: Selenium","binary",360016,1178,351498,8518
"20001_1060","Cancer code, self-reported: non-melanoma skin cancer","binary",361141,53,360599,542
"20001_1018","Cancer code, self-reported: stomach cancer","binary",361141,53,361008,133
"20001_1059","Cancer code, self-reported: malignant melanoma","binary",361141,53,358243,2898
"20001_1061","Cancer code, self-reported: basal cell carcinoma","binary",361141,53,357700,3441
"20001_1035","Cancer code, self-reported: bladder cancer","binary",361141,53,360298,843
"20001_1052","Cancer code, self-reported: hodgkins lymphoma / hodgkins disease","binary",361141,53,360781,360
"20001_1062","Cancer code, self-reported: squamous cell carcinoma","binary",361141,53,360692,449
"20001_1073","Cancer code, self-reported: rodent ulcer","binary",361141,53,360622,519
"20001_1022","Cancer code, self-reported: colon cancer/sigmoid cancer","binary",361141,53,359927,1214
"20001_1003","Cancer code, self-reported: skin cancer","binary",361141,53,360016,1125
"20001_1001","Cancer code, self-reported: lung cancer","binary",361141,53,360938,203
"20001_1019","Cancer code, self-reported: small intestine/small bowel cancer","binary",361141,53,360978,163
"20001_1053","Cancer code, self-reported: non-hodgkins lymphoma","binary",361141,53,360457,684
"20001_1006","Cancer code, self-reported: larynx/throat cancer","binary",361141,53,360860,281
"20001_1020","Cancer code, self-reported: large bowel cancer/colorectal cancer","binary",361141,53,360631,510
"20001_1050","Cancer code, self-reported: multiple myeloma","binary",361141,53,361016,125
"20001_1048","Cancer code, self-reported: leukaemia","binary",361141,53,360972,169
"20001_1030","Cancer code, self-reported: eye and/or adnexal cancer","binary",361141,53,361032,109
"20001_1032","Cancer code, self-reported: brain cancer / primary malignant brain tumour","binary",361141,53,360969,172
"20001_99999","Cancer code, self-reported: unclassifiable","binary",361141,53,360736,405
"20001_1034","Cancer code, self-reported: kidney/renal cell cancer","binary",361141,53,360668,473
"20001_1068","Cancer code, self-reported: sarcoma/fibrosarcoma","binary",361141,53,360945,196
"20001_1017","Cancer code, self-reported: oesophageal cancer","binary",361141,53,360979,162
"20001_1055","Cancer code, self-reported: chronic lymphocytic","binary",361141,53,360904,237
"20001_1065","Cancer code, self-reported: thyroid cancer","binary",361141,53,360802,339
"20001_1063","Cancer code, self-reported: primary bone cancer","binary",361141,53,361030,111
"20001_1023","Cancer code, self-reported: rectal cancer","binary",361141,53,360869,272
"20001_1011","Cancer code, self-reported: tongue cancer","binary",361141,53,361018,123
"20001_1024","Cancer code, self-reported: liver/hepatocellular cancer","binary",361141,53,361003,138
"20002_1485","Non-cancer illness code, self-reported: irregular heart beat","binary",361141,53,360576,565
"20002_1065","Non-cancer illness code, self-reported: hypertension","binary",361141,53,267581,93560
"20002_1456","Non-cancer illness code, self-reported: malabsorption/coeliac disease","binary",361141,53,359554,1587
"20002_1113","Non-cancer illness code, self-reported: emphysema/chronic bronchitis","binary",361141,53,356110,5031
"20002_1452","Non-cancer illness code, self-reported: eczema/dermatitis","binary",361141,53,351820,9321
"20002_1111","Non-cancer illness code, self-reported: asthma","binary",361141,53,319207,41934
"20002_1136","Non-cancer illness code, self-reported: liver/biliary/pancreas problem","binary",361141,53,360506,635
"20002_1311","Non-cancer illness code, self-reported: spine arthritis/spondylitis","binary",361141,53,357987,3154
"20002_1226","Non-cancer illness code, self-reported: hypothyroidism/myxoedema","binary",361141,53,343567,17574
"20002_1473","Non-cancer illness code, self-reported: high cholesterol","binary",361141,53,317184,43957
"20002_1223","Non-cancer illness code, self-reported: type 2 diabetes","binary",361141,53,358849,2292
"20002_1078","Non-cancer illness code, self-reported: heart valve problem/heart murmur","binary",361141,53,358688,2453
"20002_1075","Non-cancer illness code, self-reported: heart attack/myocardial infarction","binary",361141,53,352902,8239
"20002_1668","Non-cancer illness code, self-reported: allergy to house dust mite","binary",361141,53,360940,201
"20002_1220","Non-cancer illness code, self-reported: diabetes","binary",361141,53,347027,14114
"20002_1286","Non-cancer illness code, self-reported: depression","binary",361141,53,340493,20648
"20002_1265","Non-cancer illness code, self-reported: migraine","binary",361141,53,350494,10647
"20002_1561","Non-cancer illness code, self-reported: raynaud's phenomenon/disease","binary",361141,53,360766,375
"20002_1374","Non-cancer illness code, self-reported: allergy/hypersensitivity/anaphylaxis","binary",361141,53,358519,2622
"20002_1398","Non-cancer illness code, self-reported: pneumonia","binary",361141,53,355959,5182
"20002_1261","Non-cancer illness code, self-reported: multiple sclerosis","binary",361141,53,359815,1326
"20002_1466","Non-cancer illness code, self-reported: gout","binary",361141,53,355967,5174
"20002_1117","Non-cancer illness code, self-reported: other respiratory problems","binary",361141,53,360513,628
"20002_1465","Non-cancer illness code, self-reported: osteoarthritis","binary",361141,53,331095,30046
"20002_1278","Non-cancer illness code, self-reported: cataract","binary",361141,53,356096,5045
"20002_1074","Non-cancer illness code, self-reported: angina","binary",361141,53,349771,11370
"20002_1222","Non-cancer illness code, self-reported: type 1 diabetes","binary",361141,53,360823,318
"20002_1463","Non-cancer illness code, self-reported: ulcerative colitis","binary",361141,53,359225,1916
"20002_1387","Non-cancer illness code, self-reported: hayfever/allergic rhinitis","binary",361141,53,340474,20667
"20002_1439","Non-cancer illness code, self-reported: hiv/aids","binary",361141,53,360856,285
"20002_1474","Non-cancer illness code, self-reported: hiatus hernia","binary",361141,53,352801,8340
"20002_1471","Non-cancer illness code, self-reported: atrial fibrillation","binary",361141,53,358313,2828
"20002_1478","Non-cancer illness code, self-reported: cervical spondylosis","binary",361141,53,358631,2510
"20002_1453","Non-cancer illness code, self-reported: psoriasis","binary",361141,53,356949,4192
"20002_1197","Non-cancer illness code, self-reported: kidney stone/ureter stone/bladder stone","binary",361141,53,358278,2863
"20002_1162","Non-cancer illness code, self-reported: cholelithiasis/gall stones","binary",361141,53,355200,5941
"20002_1247","Non-cancer illness code, self-reported: meningitis","binary",361141,53,359626,1515
"20002_99999","Non-cancer illness code, self-reported: unclassifiable","binary",361141,53,346544,14597
"20002_1470","Non-cancer illness code, self-reported: anorexia/bulimia/other eating disorder","binary",361141,53,360851,290
"20002_1093","Non-cancer illness code, self-reported: pulmonary embolism +/- dvt","binary",361141,53,358142,2999
"20002_1382","Non-cancer illness code, self-reported: sjogren's syndrome/sicca syndrome","binary",361141,53,360803,338
"20002_1294","Non-cancer illness code, self-reported: back problem","binary",361141,53,354802,6339
"20002_1094","Non-cancer illness code, self-reported: deep venous thrombosis (dvt)","binary",361141,53,353904,7237
"20002_1264","Non-cancer illness code, self-reported: epilepsy","binary",361141,53,358126,3015
"20002_1599","Non-cancer illness code, self-reported: constipation","binary",361141,53,360855,286
"20002_1458","Non-cancer illness code, self-reported: diverticular disease/diverticulitis","binary",361141,53,357017,4124
"20002_1201","Non-cancer illness code, self-reported: bladder problem (not cancer)","binary",361141,53,359001,2140
"20002_1385","Non-cancer illness code, self-reported: allergy or anaphylactic reaction to food","binary",361141,53,359520,1621
"20002_1081","Non-cancer illness code, self-reported: stroke","binary",361141,53,356305,4836
"20002_1257","Non-cancer illness code, self-reported: trapped nerve/compressed nerve","binary",361141,53,360068,1073
"20002_1460","Non-cancer illness code, self-reported: rectal or colon adenoma/polyps","binary",361141,53,360053,1088
"20002_1651","Non-cancer illness code, self-reported: fracture lower leg / ankle","binary",361141,53,359670,1471
"20002_1500","Non-cancer illness code, self-reported: vertigo","binary",361141,53,360710,431
"20002_1416","Non-cancer illness code, self-reported: chronic sinusitis","binary",361141,53,358884,2257
"20002_1476","Non-cancer illness code, self-reported: sciatica","binary",361141,53,357741,3400
"20002_1154","Non-cancer illness code, self-reported: irritable bowel syndrome","binary",361141,53,352604,8537
"20002_1312","Non-cancer illness code, self-reported: prolapsed disc/slipped disc","binary",361141,53,355135,6006
"20002_1331","Non-cancer illness code, self-reported: pernicious anaemia","binary",361141,53,360032,1109
"20002_1400","Non-cancer illness code, self-reported: peptic ulcer","binary",361141,53,360760,381
"20002_1242","Non-cancer illness code, self-reported: eye/eyelid problem","binary",361141,53,358301,2840
"20002_1138","Non-cancer illness code, self-reported: gastro-oesophageal reflux (gord) / gastric reflux","binary",361141,53,345931,15210
"20002_1313","Non-cancer illness code, self-reported: ankylosing spondylitis","binary",361141,53,360103,1038
"20002_1377","Non-cancer illness code, self-reported: polymyalgia rheumatica","binary",361141,53,360388,753
"20002_1504","Non-cancer illness code, self-reported: anal fissure","binary",361141,53,360953,188
"20002_1275","Non-cancer illness code, self-reported: retinal problem","binary",361141,53,360510,631
"20002_1598","Non-cancer illness code, self-reported: tonsiltis","binary",361141,53,358572,2569
"20002_1421","Non-cancer illness code, self-reported: meniere's disease","binary",361141,53,360110,1031
"20002_1165","Non-cancer illness code, self-reported: pancreatitis","binary",361141,53,360364,777
"20002_1156","Non-cancer illness code, self-reported: infective/viral hepatitis","binary",361141,53,360373,768
"20002_1608","Non-cancer illness code, self-reported: nephritis","binary",361141,53,361026,115
"20002_1461","Non-cancer illness code, self-reported: inflammatory bowel disease","binary",361141,53,360991,150
"20002_1677","Non-cancer illness code, self-reported: scarlet fever / scarlatina","binary",361141,53,360706,435
"20002_1533","Non-cancer illness code, self-reported: disc degeneration","binary",361141,53,360474,667
"20002_1462","Non-cancer illness code, self-reported: crohns disease","binary",361141,53,360045,1096
"20002_1067","Non-cancer illness code, self-reported: peripheral vascular disease","binary",361141,53,360477,664
"20002_1457","Non-cancer illness code, self-reported: duodenal ulcer","binary",361141,53,359642,1499
"20002_1494","Non-cancer illness code, self-reported: varicose veins","binary",361141,53,359842,1299
"20002_1163","Non-cancer illness code, self-reported: cholecystitis","binary",361141,53,360760,381
"20002_1405","Non-cancer illness code, self-reported: other renal/kidney problem","binary",361141,53,359637,1504
"20002_1287","Non-cancer illness code, self-reported: anxiety/panic attacks","binary",361141,53,356180,4961
"20002_1126","Non-cancer illness code, self-reported: spontaneous pneumothorax/recurrent pneumothorax","binary",361141,53,360270,871
"20002_1135","Non-cancer illness code, self-reported: stomach disorder","binary",361141,53,360362,779
"20002_1436","Non-cancer illness code, self-reported: headaches (not migraine)","binary",361141,53,358119,3022
"20002_1225","Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis","binary",361141,53,358411,2730
"20002_1309","Non-cancer illness code, self-reported: osteoporosis","binary",361141,53,355405,5736
"20002_1330","Non-cancer illness code, self-reported: iron deficiency anaemia","binary",361141,53,359153,1988
"20002_1614","Non-cancer illness code, self-reported: stress","binary",361141,53,360713,428
